state,variable,gender,value,remark
Sarawak,bumiputra,male,892698,Ethnic
Sarawak,chinese,male,285395,Ethnic
Sarawak,indian,male,2787,Ethnic
Sarawak,others,male,3548,Ethnic
W.P. Kuala Lumpur,total,female,875225,Ethnic
W.P. Kuala Lumpur,bumiputra,female,420371,Ethnic
W.P. Kuala Lumpur,chinese,female,362272,Ethnic
W.P. Kuala Lumpur,indian,female,86616,Ethnic
W.P. Kuala Lumpur,others,female,5966,Ethnic
W.P. Kuala Lumpur,total,male,898441,Ethnic
W.P. Kuala Lumpur,bumiputra,male,425968,Ethnic
W.P. Kuala Lumpur,chinese,male,374889,Ethnic
W.P. Kuala Lumpur,indian,male,91483,Ethnic
W.P. Kuala Lumpur,others,male,6101,Ethnic
W.P. Labuan,total,female,41155,Ethnic
W.P. Labuan,bumiputra,female,34801,Ethnic
W.P. Labuan,chinese,female,5479,Ethnic
W.P. Labuan,indian,female,453,Ethnic
W.P. Labuan,others,female,422,Ethnic
W.P. Labuan,total,male,43133,Ethnic
W.P. Labuan,bumiputra,male,37870,Ethnic
W.P. Labuan,chinese,male,4364,Ethnic
W.P. Labuan,indian,male,438,Ethnic
W.P. Labuan,others,male,461,Ethnic
W.P. Putrajaya,total,female,54856,Ethnic
W.P. Putrajaya,bumiputra,female,53694,Ethnic
W.P. Putrajaya,chinese,female,351,Ethnic
W.P. Putrajaya,indian,female,677,Ethnic
W.P. Putrajaya,others,female,134,Ethnic
W.P. Putrajaya,total,male,51525,Ethnic
W.P. Putrajaya,bumiputra,male,50450,Ethnic
W.P. Putrajaya,chinese,male,319,Ethnic
W.P. Putrajaya,indian,male,626,Ethnic
W.P. Putrajaya,others,male,130,Ethnic
