state,variable,gender,value,remark
Selangor,unknown,male,51711,Marital Status
Terengganu,total,female,400970,Marital Status
Terengganu,nevermarried,female,130968,Marital Status
Terengganu,married,female,225980,Marital Status
Terengganu,widowed,female,36140,Marital Status
Terengganu,separatedordivorced,female,7331,Marital Status
Terengganu,unknown,female,551,Marital Status
Terengganu,total,male,419363,Marital Status
Terengganu,nevermarried,male,179383,Marital Status
Terengganu,married,male,226452,Marital Status
Terengganu,widowed,male,9483,Marital Status
Terengganu,separatedordivorced,male,2779,Marital Status
Terengganu,unknown,male,1266,Marital Status
Sabah,total,female,1139044,Marital Status
Sabah,nevermarried,female,374105,Marital Status
Sabah,married,female,677374,Marital Status
Sabah,widowed,female,52024,Marital Status
Sabah,separatedordivorced,female,21565,Marital Status
Sabah,unknown,female,13976,Marital Status
Sabah,total,male,1244413,Marital Status
Sabah,nevermarried,male,506131,Marital Status
Sabah,married,male,680787,Marital Status
Sabah,widowed,male,23368,Marital Status
Sabah,separatedordivorced,male,14542,Marital Status
Sabah,unknown,male,19585,Marital Status
Sarawak,total,female,924088,Marital Status
Sarawak,nevermarried,female,301663,Marital Status
Sarawak,married,female,532416,Marital Status
Sarawak,widowed,female,61970,Marital Status
Sarawak,separatedordivorced,female,24234,Marital Status
Sarawak,unknown,female,3805,Marital Status
Sarawak,total,male,989405,Marital Status
Sarawak,nevermarried,male,399391,Marital Status
Sarawak,married,male,539506,Marital Status
Sarawak,widowed,male,24192,Marital Status
Sarawak,separatedordivorced,male,13561,Marital Status
Sarawak,unknown,male,12755,Marital Status
W.P. Kuala Lumpur,total,female,704337,Marital Status
W.P. Kuala Lumpur,nevermarried,female,210030,Marital Status
W.P. Kuala Lumpur,married,female,444284,Marital Status
W.P. Kuala Lumpur,widowed,female,30487,Marital Status
W.P. Kuala Lumpur,separatedordivorced,female,16864,Marital Status
W.P. Kuala Lumpur,unknown,female,2672,Marital Status
W.P. Kuala Lumpur,total,male,825973,Marital Status
W.P. Kuala Lumpur,nevermarried,male,257479,Marital Status
W.P. Kuala Lumpur,married,male,446992,Marital Status
W.P. Kuala Lumpur,widowed,male,15143,Marital Status
W.P. Kuala Lumpur,separatedordivorced,male,8173,Marital Status
W.P. Kuala Lumpur,unknown,male,98186,Marital Status
W.P. Labuan,total,female,34237,Marital Status
W.P. Labuan,nevermarried,female,11754,Marital Status
W.P. Labuan,married,female,19792,Marital Status
W.P. Labuan,widowed,female,1709,Marital Status
W.P. Labuan,separatedordivorced,female,982,Marital Status
W.P. Labuan,unknown,female,0,Marital Status
W.P. Labuan,total,male,34870,Marital Status
W.P. Labuan,nevermarried,male,13044,Marital Status
W.P. Labuan,married,male,20323,Marital Status
W.P. Labuan,widowed,male,942,Marital Status
W.P. Labuan,separatedordivorced,male,561,Marital Status
W.P. Labuan,unknown,male,0,Marital Status
W.P. Putrajaya,total,female,35556,Marital Status
W.P. Putrajaya,nevermarried,female,10154,Marital Status
W.P. Putrajaya,married,female,23000,Marital Status
W.P. Putrajaya,widowed,female,1047,Marital Status
W.P. Putrajaya,separatedordivorced,female,1306,Marital Status
W.P. Putrajaya,unknown,female,49,Marital Status
W.P. Putrajaya,total,male,32186,Marital Status
W.P. Putrajaya,nevermarried,male,8433,Marital Status
W.P. Putrajaya,married,male,22588,Marital Status
W.P. Putrajaya,widowed,male,318,Marital Status
W.P. Putrajaya,separatedordivorced,male,175,Marital Status
W.P. Putrajaya,unknown,male,672,Marital Status
